i,x (ciclo),f(x) = QD (Ah),x²,ln f(x),x · ln f(x)
460,518,1.058822,268324,0.05715744,29.60755476
461,519,1.056471,269361,0.05493401,28.51075322
462,520,1.060141,270400,0.05840201,30.36904649
463,521,1.060352,271441,0.05860074,30.53098546
464,522,1.04334,272484,0.04242682,22.14679905
465,523,1.054184,273529,0.0527672,27.59724438
466,524,1.061229,274576,0.05942758,31.14004995
467,525,1.055348,275625,0.05387076,28.28214893
468,526,1.045835,276676,0.04481551,23.57296026
469,527,1.031952,277729,0.03145196,16.57518321
470,528,1.037704,278784,0.03701068,19.54163728
471,529,1.060621,279841,0.0588543,31.13392617
472,530,1.05618,280900,0.054659,28.96927213
473,531,1.060632,281961,0.05886524,31.25744229
474,532,1.044998,283024,0.04401459,23.41576122
475,533,1.05442,284089,0.05299066,28.2440234
476,534,1.048906,285156,0.04774724,25.49702593
477,535,1.055442,286225,0.05395916,28.8681521
478,536,1.051696,287296,0.05040372,27.01639329
479,537,1.055194,288369,0.05372502,28.85033325
480,538,1.058147,289444,0.05651898,30.40721214
481,539,1.057614,290521,0.05601495,30.19206063
482,540,1.060317,291600,0.05856811,31.62677867
483,541,1.05921,292681,0.05752344,31.12018193
484,542,1.059129,293764,0.05744697,31.13625592
485,543,1.056567,294849,0.05502535,29.87876591
486,544,1.049164,295936,0.04799356,26.10849732
487,545,1.054124,297025,0.05271019,28.72705089
488,546,1.05767,298116,0.05606828,30.61328141
489,547,1.049066,299209,0.04790005,26.20132946
490,548,1.038256,300304,0.03754267,20.57338393
491,549,1.03705,301401,0.03637966,19.97243441
492,550,1.045454,302500,0.04445115,24.44812985
493,551,1.054446,303601,0.05301523,29.21138953
494,552,1.058341,304704,0.05670297,31.30003706
495,553,1.059917,305809,0.05819079,32.1795079
496,554,1.055301,306916,0.05382575,29.81946551
497,555,1.060292,308025,0.05854434,32.49210975
498,556,1.060021,309136,0.05828844,32.40837055
499,557,1.059884,310249,0.05815909,32.39461356
500,558,1.059732,311364,0.05801633,32.37311161
501,559,1.058577,312481,0.05692527,31.82122593
502,560,1.054891,313600,0.05343744,29.92496867
503,561,1.042264,314721,0.04139556,23.22290804
504,562,1.047643,315844,0.04654278,26.15704436
505,563,1.049976,316969,0.04876778,27.45626181
506,564,1.047174,318096,0.04609539,25.99780203
507,565,1.056861,319225,0.0553031,31.24625114
508,566,1.055071,320356,0.05360816,30.34221744
509,567,1.059273,321489,0.0575832,32.64967518
510,568,1.058955,322624,0.05728238,32.53639407
511,569,1.059443,323761,0.05774311,32.85582933
512,570,1.057874,324900,0.05626161,32.06911874
513,571,1.058019,326041,0.05639791,32.20320868
514,572,1.059449,327184,0.05774924,33.03256804
515,573,1.059084,328329,0.05740457,32.89282
516,574,1.057033,329476,0.05546574,31.8373334
517,575,1.059182,330625,0.05749729,33.06094161
518,576,1.058729,331776,0.05706951,32.8720377
519,577,1.048876,332929,0.04771892,27.53381911
520,578,1.027061,334084,0.02670162,15.43353496
521,579,1.046486,335241,0.04543788,26.30853535
522,580,1.057959,336400,0.05634158,32.67811659
523,581,1.05807,337561,0.05644612,32.79519326
524,582,1.05496,338724,0.05350238,31.13838374
525,583,1.047742,339889,0.04663709,27.18942117
526,584,1.050045,341056,0.04883283,28.51837268
527,585,1.05886,342225,0.05719239,33.45754551
528,586,1.058501,343396,0.05685395,33.31641193
529,587,1.058696,344569,0.05703787,33.48122833
530,588,1.057984,345744,0.05636483,33.14252143
531,589,1.05853,346921,0.05688125,33.50305487
532,590,1.052398,348100,0.05107165,30.13227635
533,591,1.045915,349281,0.04489229,26.53134434
534,592,1.056134,350464,0.0546146,32.33184187
535,593,1.057268,351649,0.05568851,33.02328422
536,594,1.047645,352836,0.0465445,27.64743401
537,595,1.056224,354025,0.05470019,32.54661265
538,596,1.056637,355216,0.05509084,32.83414336
539,597,1.043266,356409,0.04235608,25.28658048
540,598,1.04689,357604,0.04582377,27.40261372
541,599,1.056587,358801,0.05504419,32.97146741
542,600,1.054775,360000,0.05332747,31.99648442
543,601,1.055189,361201,0.05371971,32.28554467
544,602,1.057548,362404,0.05595293,33.68366171
545,603,1.049146,363609,0.04797631,28.92971449
546,604,1.052957,364816,0.05160249,31.16790492
547,605,1.053813,366025,0.05241492,31.71102668
548,606,1.057605,367236,0.05600701,33.94024948
549,607,1.057596,368449,0.0559986,33.99114842
550,608,1.053377,369664,0.05200157,31.61695669
551,609,1.046148,370881,0.04511456,27.4747672
552,610,1.029105,372100,0.02868969,17.50070895
553,612,1.033029,374544,0.03249507,19.88698266
554,613,1.057422,375769,0.05583349,34.22593064
555,614,1.05582,376996,0.054318,33.35125221
556,615,1.05557,378225,0.05408109,33.25987334
557,616,1.056054,379456,0.05453942,33.59627966
558,617,1.057335,380689,0.05575188,34.39890695
559,618,1.053388,381924,0.05201116,32.14289791
560,619,1.056016,383161,0.05450372,33.73779987
561,620,1.049493,384400,0.048307,29.9503399
562,621,1.055551,385641,0.05406262,33.5728878
563,622,1.053034,386884,0.05167562,32.14223333
564,623,1.041051,388129,0.04023068,25.06371596
565,624,1.049328,389376,0.04814967,30.04539619
566,625,1.055636,390625,0.05414381,33.83987988
567,626,1.056958,391876,0.05539469,34.67707417
568,627,1.056772,393129,0.05521888,34.62224037
569,628,1.056656,394384,0.05510939,34.60869931
570,629,1.056532,395641,0.05499222,34.59010946
571,630,1.05645,396900,0.05491395,34.59578655
572,631,1.056736,398161,0.05518501,34.82173932
573,632,1.056891,399424,0.05533186,34.96973766
574,633,1.054943,400689,0.05348702,33.85728455
575,634,1.055483,401956,0.0539981,34.23479736
576,635,1.055983,403225,0.05447171,34.5895345
577,636,1.05437,404496,0.05294391,33.67232446
578,637,1.05548,405769,0.05399517,34.39492077
579,638,1.02962,407044,0.02919,18.62321769
580,639,1.023019,408321,0.02275826,14.54252502
