i,x (ciclo),f(x) = QD (Ah),x²,x · f(x)
325,383,1.067912,146689,409.010334
326,384,1.067308,147456,409.846426
327,385,1.067424,148225,410.958432
328,386,1.0676,148996,412.093523
329,387,1.068161,149769,413.378462
330,388,1.066788,150544,413.913899
331,389,1.049912,151321,408.415651
332,390,1.048782,152100,409.024941
333,391,1.040984,152881,407.024822
334,392,1.054733,153664,413.455336
335,393,1.066344,154449,419.073113
336,394,1.063675,155236,419.087832
337,395,1.066135,156025,421.123404
338,396,1.067439,156816,422.705844
339,397,1.063289,157609,422.125654
340,398,1.06475,158404,423.770381
341,399,1.065233,159201,425.027807
342,400,1.063678,160000,425.47132
343,401,1.065893,160801,427.423013
344,402,1.061992,161604,426.920905
345,403,1.059456,162409,426.960728
346,404,1.058076,163216,427.462704
347,405,1.044961,164025,423.209043
348,406,1.060886,164836,430.719513
349,407,1.054832,165649,429.316746
350,408,1.04266,166464,425.405076
351,409,1.066958,167281,436.386026
352,410,1.06567,168100,436.924659
353,411,1.065674,168921,437.99222
354,412,1.066538,169744,439.41378
355,413,1.062942,170569,438.995005
356,414,1.055619,171396,437.026349
357,415,1.066964,172225,442.790226
358,416,1.064586,173056,442.867984
359,417,1.043953,173889,435.328234
360,418,1.05604,174724,441.424804
361,419,1.066907,175561,447.034159
362,420,1.066283,176400,447.838986
363,421,1.066753,177241,449.103055
364,422,1.066135,178084,449.909097
365,423,1.063808,178929,449.990784
366,424,1.063803,179776,451.052387
367,425,1.064928,180625,452.594442
368,426,1.063532,181476,453.064589
369,427,1.064642,182329,454.602049
370,428,1.051359,183184,449.981738
371,429,1.06221,184041,455.687961
372,430,1.054874,184900,453.596035
373,431,1.056126,185761,455.190306
374,432,1.054855,186624,455.69749
375,433,1.04013,187489,450.376333
376,434,1.056043,188356,458.322488
377,435,1.064447,189225,463.034619
378,436,1.063074,190096,463.50022
379,437,1.064386,190969,465.136551
380,438,1.065268,191844,466.58734
381,439,1.060563,192721,465.587201
382,440,1.061882,193600,467.22808
383,441,1.060433,194481,467.650909
384,442,1.06252,195364,469.633663
385,443,1.063943,196249,471.326926
386,444,1.065631,197136,473.14012
387,445,1.065956,198025,474.350198
388,446,1.064377,198916,474.711964
389,447,1.059249,199809,473.484124
390,448,1.064343,200704,476.825664
391,449,1.065281,201601,478.311079
392,450,1.0653,202500,479.384865
393,451,1.065165,203401,480.389595
394,452,1.064838,204304,481.306866
395,453,1.064746,205209,482.330074
396,454,1.064704,206116,483.375571
397,455,1.063228,207025,483.76874
398,456,1.054764,207936,480.972202
399,457,1.063291,208849,485.92385
400,458,1.064048,209764,487.333801
401,459,1.060768,210681,486.892512
402,460,1.061019,211600,488.068832
403,461,1.064518,212521,490.742568
404,462,1.059938,213444,489.691217
405,463,1.063295,214369,492.305539
406,464,1.062016,215296,492.775424
407,465,1.060432,216225,493.10088
408,466,1.063256,217156,495.477482
409,467,1.059411,218089,494.745124
410,468,1.063498,219024,497.717204
411,469,1.060101,219961,497.187275
412,470,1.057823,220900,497.176716
413,471,1.061189,221841,499.819878
414,472,1.041633,222784,491.650682
415,473,1.061265,223729,501.978392
416,474,1.064707,224676,504.671213
417,475,1.064676,225625,505.721005
418,476,1.0642,226576,506.559057
419,477,1.064227,227529,507.636422
420,478,1.063341,228484,508.276902
421,479,1.063984,229441,509.648528
422,480,1.056631,230400,507.182688
423,481,1.050668,231361,505.371356
424,482,1.058108,232324,510.008056
425,483,1.057606,233289,510.823698
426,484,1.056636,234256,511.411824
427,485,1.061269,235225,514.715562
428,486,1.051676,236196,511.114536
429,487,1.0553,237169,513.931344
430,488,1.062702,238144,518.598478
431,489,1.061066,239121,518.861078
432,490,1.061181,240100,519.978641
433,491,1.062433,241081,521.654652
434,492,1.062424,242064,522.712559
435,493,1.062617,243049,523.870378
436,494,1.06243,244036,524.84042
437,495,1.062134,245025,525.75628
438,496,1.059418,246016,525.471427
439,497,1.059647,247009,526.64436
440,498,1.062481,248004,529.115737
441,499,1.062648,249001,530.261402
442,500,1.061404,250000,530.702
443,501,1.062149,251001,532.136449
444,502,1.060998,252004,532.621096
445,503,1.057787,253009,532.066911
446,504,1.060446,254016,534.464834
447,505,1.061581,255025,536.098304
448,506,1.06176,256036,537.250813
449,507,1.061998,257049,538.433189
450,508,1.058044,258064,537.486504
451,509,1.052872,259081,535.912052
452,510,1.051912,260100,536.475324
453,511,1.05472,261121,538.961716
454,512,1.037389,262144,531.143322
455,513,1.054494,263169,540.955268
456,514,1.061681,264196,545.704034
457,515,1.061174,265225,546.504404
458,516,1.05679,266256,545.303588
459,517,1.058567,267289,547.278984
460,518,1.058822,268324,548.470055
461,519,1.056471,269361,548.308397
462,520,1.060141,270400,551.273372
463,521,1.060352,271441,552.443288
464,522,1.04334,272484,544.623323
465,523,1.054184,273529,551.338337
466,524,1.061229,274576,556.083944
467,525,1.055348,275625,554.057805
468,526,1.045835,276676,550.109157
469,527,1.031952,277729,543.838599
470,528,1.037704,278784,547.907765
471,529,1.060621,279841,561.06835
472,530,1.05618,280900,559.775612
473,531,1.060632,281961,563.195751
474,532,1.044998,283024,555.938723
475,533,1.05442,284089,562.005753
476,534,1.048906,285156,560.115537
477,535,1.055442,286225,564.661202
478,536,1.051696,287296,563.708842
479,537,1.055194,288369,566.639393
480,538,1.058147,289444,569.282925
481,539,1.057614,290521,570.053676
482,540,1.060317,291600,572.571288
483,541,1.05921,292681,573.032664
484,542,1.059129,293764,574.047972
485,543,1.056567,294849,573.716098
486,544,1.049164,295936,570.745162
487,545,1.054124,297025,574.497634
488,546,1.05767,298116,577.487765
489,547,1.049066,299209,573.838993
490,548,1.038256,300304,568.964452
491,549,1.03705,301401,569.340176
492,550,1.045454,302500,574.999645
493,551,1.054446,303601,580.999581
494,552,1.058341,304704,584.204453
495,553,1.059917,305809,586.134212
496,554,1.055301,306916,584.636588
497,555,1.060292,308025,588.46206
498,556,1.060021,309136,589.371509
499,557,1.059884,310249,590.355165
500,558,1.059732,311364,591.330623
501,559,1.058577,312481,591.744375
502,560,1.054891,313600,590.73896
503,561,1.042264,314721,584.710272
504,562,1.047643,315844,588.77531
505,563,1.049976,316969,591.13677
506,564,1.047174,318096,590.606305
507,565,1.056861,319225,597.126408
508,566,1.055071,320356,597.170243
509,567,1.059273,321489,600.608018
510,568,1.058955,322624,601.486326
511,569,1.059443,323761,602.822953
512,570,1.057874,324900,602.988408
513,571,1.058019,326041,604.128621
514,572,1.059449,327184,606.005
515,573,1.059084,328329,606.855247
516,574,1.057033,329476,606.736827
517,575,1.059182,330625,609.02988
518,576,1.058729,331776,609.828134
519,577,1.048876,332929,605.201337
520,578,1.027061,334084,593.641431
521,579,1.046486,335241,605.915394
522,580,1.057959,336400,613.61622
523,581,1.05807,337561,614.738438
524,582,1.05496,338724,613.986429
525,583,1.047742,339889,610.833411
526,584,1.050045,341056,613.226163
527,585,1.05886,342225,619.432808
528,586,1.058501,343396,620.281703
529,587,1.058696,344569,621.454493
530,588,1.057984,345744,622.094357
531,589,1.05853,346921,623.474229
532,590,1.052398,348100,620.914997
533,591,1.045915,349281,618.135883
534,592,1.056134,350464,625.231032
535,593,1.057268,351649,626.960102
536,594,1.047645,352836,622.300952
537,595,1.056224,354025,628.45322
538,596,1.056637,355216,629.755414
539,597,1.043266,356409,622.829742
540,598,1.04689,357604,626.04016
541,599,1.056587,358801,632.895793
542,600,1.054775,360000,632.865
543,601,1.055189,361201,634.168469
544,602,1.057548,362404,636.643836
545,603,1.049146,363609,632.634917
546,604,1.052957,364816,635.986088
547,605,1.053813,366025,637.556804
548,606,1.057605,367236,640.908691
549,607,1.057596,368449,641.960893
550,608,1.053377,369664,640.453459
551,609,1.046148,370881,637.103949
552,610,1.029105,372100,627.754172
553,612,1.033029,374544,632.213626
554,613,1.057422,375769,648.199441
555,614,1.05582,376996,648.273664
556,615,1.05557,378225,649.175673
557,616,1.056054,379456,650.529326
558,617,1.057335,380689,652.37588
559,618,1.053388,381924,650.993475
560,619,1.056016,383161,653.674152
561,620,1.049493,384400,650.685536
562,621,1.055551,385641,655.496985
563,622,1.053034,386884,654.98721
564,623,1.041051,388129,648.574711
565,624,1.049328,389376,654.780485
566,625,1.055636,390625,659.77275
567,626,1.056958,391876,661.65552
568,627,1.056772,393129,662.595981
569,628,1.056656,394384,663.580094
570,629,1.056532,395641,664.55888
571,630,1.05645,396900,665.563311
572,631,1.056736,398161,666.800479
573,632,1.056891,399424,667.955302
574,633,1.054943,400689,667.779109
575,634,1.055483,401956,669.175968
576,635,1.055983,403225,670.548951
577,636,1.05437,404496,670.579638
578,637,1.05548,405769,672.340441
579,638,1.02962,407044,656.897688
580,639,1.023019,408321,653.709269
581,640,1.053824,409600,674.447296
582,641,1.051259,410881,673.857211
583,642,1.053572,412164,676.393096
584,643,1.044069,413449,671.336303
585,644,1.047736,414736,674.741791
586,645,1.051,416025,677.894742
587,646,1.055515,417316,681.862496
588,647,1.055098,418609,682.64873
589,648,1.050889,419904,680.975942
590,649,1.040293,421201,675.149832
591,650,1.033109,422500,671.52098
592,651,1.052226,423801,684.999061
593,653,1.0458,426409,682.907204
594,654,1.053402,427716,688.924777
595,655,1.044048,429025,683.851178
596,656,1.038269,430336,681.104267
597,657,1.034262,431649,679.510397
598,658,1.048224,432964,689.731458
599,659,1.055425,434281,695.525207
600,660,1.046847,435600,690.919086
601,661,1.05316,436921,696.138496
602,662,1.049279,438244,694.622897
603,663,1.035438,439569,686.495593
604,664,1.034169,440896,686.688415
605,665,1.040813,442225,692.140911
606,666,1.051704,443556,700.43513
607,667,1.04676,444889,698.18912
608,668,1.054004,446224,704.074872
609,669,1.05508,447561,705.848186
610,670,1.053934,448900,706.135847
611,671,1.052424,450241,706.176504
612,672,1.051232,451584,706.427971
613,673,1.04495,452929,703.251686
614,674,1.023929,454276,690.128079
615,675,1.050086,455625,708.808252
616,676,1.054307,456976,712.711262
617,677,1.050754,458329,711.360526
618,678,1.045605,459684,708.920122
619,679,1.051112,461041,713.704844
620,680,1.053678,462400,716.501244
621,681,1.052654,463761,716.857714
622,682,1.048833,465124,715.304379
623,683,1.050034,466489,717.173427
624,684,1.050843,467856,718.776886
625,685,1.051689,469225,720.407033
626,686,1.048397,470596,719.200136
627,687,1.046491,471969,718.93966
628,688,1.042221,473344,717.04791
629,689,1.054438,474721,726.507506
630,690,1.054102,476100,727.330725
631,691,1.050632,477481,725.986988
632,692,1.046755,478864,724.354529
633,693,1.04018,480249,720.844879
634,694,1.051208,481636,729.538283
635,695,1.048334,483025,728.59213
636,696,1.052479,484416,732.525384
637,697,1.05416,485809,734.74959
638,698,1.053589,487204,735.404913
639,699,1.051408,488601,734.933843
640,700,1.052657,490000,736.85983
641,701,1.028162,491401,720.741492
642,702,1.054232,492804,740.070513
643,703,1.05404,494209,740.989979
644,704,1.052857,495616,741.211539
645,706,1.026876,498436,724.974668
646,707,1.046093,499849,739.587892
647,708,1.04883,501264,742.571428
648,709,1.031429,502681,731.283374
649,710,1.026654,504100,728.923985
650,711,1.036703,505521,737.095833
651,712,1.050227,506944,747.76141
652,713,1.05352,508369,751.159831
653,714,1.054434,509796,752.866162
654,715,1.052043,511225,752.210602
655,716,1.049241,512656,751.256341
656,717,1.052522,514089,754.658059
657,718,1.04475,515524,750.130141
658,719,1.046808,516961,752.655096
659,720,1.048703,518400,755.066376
660,721,1.053134,519841,759.309902
661,722,1.05212,521284,759.630423
662,723,1.052852,522729,761.212357
663,724,1.05024,524176,760.373905
664,725,1.03908,525625,753.332855
665,726,1.043781,527076,757.785006
666,727,1.049797,528529,763.202637
667,728,1.05245,529984,766.183746
668,729,1.052206,531441,767.058101
669,730,1.051608,532900,767.674059
670,731,1.047296,534361,765.573376
671,732,1.048299,535824,767.354868
672,733,1.05011,537289,769.73063
673,734,1.050805,538756,771.29065
674,735,1.041797,540225,765.721016
675,736,1.049485,541696,772.420813
676,737,1.051172,543169,774.713617
677,738,1.046405,544644,772.246595
678,739,1.044025,546121,771.534179
679,740,1.041147,547600,770.448484
680,741,1.048242,549081,776.747396
681,742,1.045193,550564,775.53328
682,743,1.041975,552049,774.187648
683,744,1.046187,553536,778.362905
684,745,1.04198,555025,776.275026
685,746,1.033036,556516,770.644931
686,747,1.048892,558009,783.522175
687,749,1.029734,561001,771.271066
688,750,1.041769,562500,781.326675
689,751,1.048495,564001,787.419445
690,752,1.046325,565504,786.836099
691,753,1.039776,567009,782.951102
692,754,1.031179,568516,777.508664
693,755,1.050776,570025,793.336258
694,756,1.048365,571536,792.563864
695,759,1.044983,576081,793.142325
696,760,1.050673,577600,798.511404
697,761,1.045856,579121,795.896112
698,762,1.044575,580644,795.965921
699,763,1.045566,582169,797.767011
700,764,1.049007,583696,801.441577
701,765,1.038591,585225,794.522421
702,766,1.041319,586756,797.650584
703,767,1.026644,588289,787.436331
704,768,1.041305,589824,799.721856
705,769,1.044848,591361,803.488189
706,771,1.03871,594441,800.845564
707,772,1.044482,595984,806.33995
708,773,1.045437,597529,808.122801
709,774,1.049497,599076,812.310755
710,775,1.035765,600625,802.718108
711,776,1.039991,602176,807.033249
712,777,1.045671,603729,812.4866
713,778,1.050397,605284,817.20871
714,779,1.050224,606841,818.12473
715,780,1.041375,608400,812.2725
716,781,1.046459,609961,817.284479
717,782,1.048147,611524,819.650798
718,783,1.037337,613089,812.235028
719,784,1.036488,614656,812.606278
720,785,1.049335,616225,823.728054
721,786,1.049736,617796,825.092103
722,787,1.039527,619369,818.107985
723,788,1.040638,620944,820.02298
724,789,1.049775,622521,828.272791
725,790,1.043449,624100,824.324473
726,791,1.046277,625681,827.605028
727,792,1.04878,627264,830.634077
728,793,1.039576,628849,824.384006
729,794,1.030682,630436,818.361508
730,796,1.037206,633616,825.615737
731,797,1.044772,635209,832.683603
732,798,1.048778,636804,836.924684
733,799,1.04714,638401,836.66518
734,800,1.047504,640000,838.00312
735,801,1.048984,641601,840.235784
736,802,1.048642,643204,841.011044
737,803,1.045436,644809,839.485108
738,804,1.042668,646416,838.304831
739,805,1.045882,648025,841.934688
740,806,1.047706,649636,844.450955
741,807,1.042956,651249,841.665411
742,808,1.034765,652864,836.089716
743,809,1.043305,654481,844.033907
744,810,1.042357,656100,844.309413
745,811,1.033511,657721,838.177826
746,812,1.047571,659344,850.627896
747,813,1.044793,660969,849.416465
748,814,1.04563,662596,851.142901
749,815,1.046161,664225,852.621378
750,816,1.042869,665856,850.980778
751,817,1.045481,667489,854.158222
752,818,1.045179,669124,854.956258
753,819,1.047808,670761,858.155162
754,820,1.028896,672400,843.694392
755,821,1.036771,674041,851.188909
756,822,1.047145,675684,860.753026
757,823,1.048181,677329,862.653292
758,824,1.03482,678976,852.69135
759,825,1.042911,680625,860.401905
760,826,1.045094,682276,863.247561
761,827,1.044276,683929,863.616335
762,828,1.038341,685584,859.746514
763,829,1.044,687241,865.476249
764,830,1.044595,688900,867.01385
765,833,1.046665,693889,871.872195
766,834,1.04467,695556,871.254947
767,835,1.047194,697225,874.407408
768,836,1.043674,698896,872.511631
769,837,1.043256,700569,873.205523
770,838,1.045565,702244,876.183554
771,839,1.046184,703921,877.748208
772,840,1.04669,705600,879.219768
773,841,1.044336,707281,878.286576
774,842,1.04253,708964,877.810681
775,843,1.047084,710649,882.691728
776,844,1.047045,712336,883.705896
777,845,1.046628,714025,884.401082
778,846,1.042233,715716,881.72878
779,847,1.025847,717409,868.892494
780,849,1.036481,720801,879.972284
781,850,1.043061,722500,886.60185
782,851,1.028687,724201,875.412297
783,852,1.042304,725904,888.042667
784,853,1.048792,727609,894.619917
785,854,1.047066,729316,894.19462
786,855,1.047007,731025,895.19107
787,856,1.0469,732736,896.146657
788,857,1.045824,734449,896.271596
789,858,1.044908,736164,896.531236
790,859,1.045166,737881,897.797508
791,860,1.045241,739600,898.906916
792,861,1.045542,741321,900.212092
793,862,1.045603,743044,901.309958
794,863,1.044431,744769,901.344212
795,864,1.045661,746496,903.450672
796,865,1.043108,748225,902.288593
797,866,1.045023,749956,904.989745
798,867,1.042286,751689,903.662222
799,868,1.045639,753424,907.614565
800,869,1.045497,755161,908.536545
801,870,1.045634,756900,909.701319
802,871,1.046066,758641,911.123834
803,872,1.046043,760384,912.14967
804,873,1.046275,762129,913.398511
805,874,1.045606,763876,913.859906
806,875,1.045958,765625,915.2136
807,876,1.045856,767376,916.169418
808,877,1.045496,769129,916.900431
809,878,1.045257,770884,917.735734
810,879,1.045472,772641,918.970152
811,880,1.045259,774400,919.82792
812,881,1.04538,776161,920.979604
813,882,1.04476,777924,921.478761
814,883,1.044744,779689,922.508952
815,884,1.043446,781456,922.40591
816,885,1.044229,783225,924.143107
817,886,1.044922,784996,925.800538
818,887,1.044175,786769,926.183136
819,888,1.044636,788544,927.636679
820,889,1.044506,790321,928.565923
