i,x,f(x),x²,x³,x⁴,x·f(x),x²·f(x)
85,143,1.07472,20449,2924207,418161601,153.684931,21976.9452
86,144,1.074691,20736,2985984,429981696,154.755446,22284.7843
87,145,1.072199,21025,3048625,442050625,155.468797,22542.9756
88,146,1.073395,21316,3112136,454371856,156.715641,22880.4836
89,147,1.074539,21609,3176523,466948881,157.957218,23219.7111
90,148,1.074387,21904,3241792,479785216,159.00932,23533.3794
91,149,1.074088,22201,3307949,492884401,160.039097,23845.8255
92,150,1.074415,22500,3375000,506250000,161.16228,24174.342
93,151,1.074378,22801,3442951,519885601,162.231078,24496.8928
94,152,1.074359,23104,3511808,533794816,163.302614,24821.9973
95,153,1.074277,23409,3581577,547981281,164.364335,25147.7433
96,154,1.074231,23716,3652264,562448656,165.431512,25476.4529
97,155,1.073968,24025,3723875,577200625,166.465024,25802.0788
98,156,1.073216,24336,3796416,592240896,167.421634,26117.7748
99,157,1.073682,24649,3869893,607573201,168.56809,26465.1901
100,158,1.073785,24964,3944312,623201296,169.657998,26805.9637
101,159,1.073896,25281,4019679,639128961,170.74948,27149.1673
102,160,1.074275,25600,4096000,655360000,171.883952,27501.4323
103,161,1.073007,25921,4173281,671898241,172.754175,27813.4222
104,162,1.07306,26244,4251528,688747536,173.835671,28161.3788
105,163,1.071574,26569,4330747,705911761,174.66648,28470.6363
106,164,1.071436,26896,4410944,723394816,175.715504,28817.3427
107,165,1.068702,27225,4492125,741200625,176.33588,29095.4201
108,166,1.067708,27556,4574296,759333136,177.239594,29421.7727
109,167,1.0725,27889,4657463,777796321,179.1075,29910.9525
110,168,1.073626,28224,4741632,796594176,180.369134,30302.0146
111,169,1.073018,28561,4826809,815730721,181.339974,30646.4557
112,170,1.073767,28900,4913000,835210000,182.540373,31031.8634
113,171,1.073939,29241,5000211,855036081,183.643535,31403.0445
114,172,1.071485,29584,5088448,875213056,184.295454,31698.8182
115,173,1.071384,29929,5177717,895745041,185.349467,32065.4577
116,174,1.070015,30276,5268024,916636176,186.18268,32395.7863
117,175,1.063932,30625,5359375,937890625,186.18803,32582.9053
118,176,1.067809,30976,5451776,959512576,187.934366,33076.4485
119,177,1.071584,31329,5545233,981506241,189.670456,33571.6708
120,178,1.06914,31684,5639752,1003875856,190.306849,33874.6191
121,179,1.07152,32041,5735339,1026625681,191.80208,34332.5723
122,180,1.070211,32400,5832000,1049760000,192.637926,34674.8267
123,181,1.071478,32761,5929741,1073283121,193.9375,35102.6875
124,182,1.073767,33124,6028568,1097199376,195.425521,35567.4449
125,183,1.073478,33489,6128487,1121513121,196.446419,35949.6947
126,184,1.073412,33856,6229504,1146228736,197.507863,36341.4468
127,185,1.073316,34225,6331625,1171350625,198.563442,36734.2367
128,186,1.073264,34596,6434856,1196883216,199.627067,37130.6344
129,187,1.073142,34969,6539203,1222830961,200.677648,37526.7201
130,188,1.072943,35344,6644672,1249198336,201.713284,37922.0974
131,189,1.071934,35721,6751269,1275989841,202.595507,38290.5508
132,190,1.07161,36100,6859000,1303210000,203.605938,38685.1282
133,191,1.07247,36481,6967871,1330863361,204.841866,39124.7963
134,192,1.072864,36864,7077888,1358954496,205.98985,39550.0511
135,193,1.073096,37249,7189057,1387488001,207.107509,39971.7492
136,194,1.069645,37636,7301384,1416468496,207.511052,40257.1442
137,195,1.070941,38025,7414875,1445900625,208.833554,40722.5429
138,196,1.064749,38416,7529536,1475789056,208.690765,40903.3899
139,197,1.067211,38809,7645373,1506138481,210.240567,41417.3917
140,198,1.069285,39204,7762392,1536953616,211.71847,41920.257
141,199,1.064405,39601,7880599,1568239201,211.816535,42151.4905
142,200,1.069248,40000,8000000,1600000000,213.84956,42769.912
143,201,1.072961,40401,8120601,1632240801,215.665201,43348.7054
144,202,1.071951,40804,8242408,1664966416,216.534163,43739.9008
145,203,1.073483,41209,8365427,1698181681,217.916968,44237.1445
146,204,1.071111,41616,8489664,1731891456,218.506562,44575.3387
147,205,1.072836,42025,8615125,1766100625,219.93136,45085.9287
148,206,1.068616,42436,8741816,1800814096,220.134814,45347.7716
149,207,1.072255,42849,8869743,1836036801,221.956847,45945.0673
150,208,1.072209,43264,8998912,1871773696,223.01943,46388.0415
151,209,1.073086,43681,9129329,1908029761,224.274932,46873.4608
152,210,1.072887,44100,9261000,1944810000,225.306186,47314.2991
153,211,1.072836,44521,9393931,1982119441,226.368354,47763.7227
154,212,1.072808,44944,9528128,2019963136,227.435232,48216.2693
155,213,1.07278,45369,9663597,2058346161,228.50214,48670.9558
156,214,1.072669,45796,9800344,2097273616,229.551252,49123.9678
157,215,1.072575,46225,9938375,2136750625,230.603646,49579.784
158,216,1.071491,46656,10077696,2176782336,231.442099,49991.4934
159,217,1.072529,47089,10218313,2217373921,232.738836,50504.3275
160,218,1.072256,47524,10360232,2258530576,233.751852,50957.9036
161,219,1.072226,47961,10503459,2300257521,234.81756,51425.0456
162,220,1.0703,48400,10648000,2342560000,235.465934,51802.5055
163,221,1.0709,48841,10793861,2385443281,236.668988,52303.8464
164,222,1.071755,49284,10941048,2428912656,237.929543,52820.3586
165,223,1.072082,49729,11089567,2472973441,239.074264,53313.5608
166,224,1.072664,50176,11239424,2517630976,240.276691,53821.9788
167,225,1.068663,50625,11390625,2562890625,240.449153,54101.0593
168,226,1.068747,51076,11543176,2608757776,241.536799,54587.3167
169,227,1.066107,51529,11697083,2655237841,242.006266,54935.4225
170,228,1.065933,51984,11852352,2702336256,243.032633,55411.4403
171,229,1.067914,52441,12008989,2750058481,244.552237,56002.4623
172,230,1.068548,52900,12167000,2798410000,245.765994,56526.1786
173,231,1.071534,53361,12326391,2847396321,247.524331,57178.1204
174,232,1.07251,53824,12487168,2897022976,248.822413,57726.7998
175,233,1.072442,54289,12649337,2947295521,249.87887,58221.7766
176,234,1.072302,54756,12812904,2998219536,250.918574,58714.9464
177,235,1.07228,55225,12977875,3049800625,251.9858,59216.663
178,236,1.065974,55696,13144256,3102044416,251.569746,59370.4601
179,237,1.070775,56169,13312053,3154956561,253.773651,60144.3554
180,238,1.069517,56644,13481272,3208542736,254.545022,60581.7153
181,239,1.063406,57121,13651919,3262808641,254.153938,60742.7913
182,240,1.06944,57600,13824000,3317760000,256.665648,61599.7555
183,241,1.068152,58081,13997521,3373402561,257.42468,62039.3479
184,242,1.070517,58564,14172488,3429742096,259.065138,62693.7634
185,243,1.071526,59049,14348907,3486784401,260.380915,63272.5624
186,244,1.071109,59536,14526784,3544535296,261.350669,63769.5633
187,245,1.07132,60025,14706125,3603000625,262.473302,64305.959
188,246,1.071338,60516,14886936,3662186256,263.54905,64833.0662
189,247,1.071448,61009,15069223,3722098081,264.647557,65367.9466
190,248,1.071353,61504,15252992,3782742016,265.695569,65892.5011
191,249,1.071695,62001,15438249,3844124001,266.852105,66446.1741
192,250,1.071188,62500,15625000,3906250000,267.797,66949.25
193,251,1.069211,63001,15813251,3969126001,268.371986,67361.3685
194,252,1.069451,63504,16003008,4032758016,269.501702,67914.429
195,253,1.071314,64009,16194277,4097152081,271.042366,68573.7186
196,254,1.06657,64516,16387064,4162314256,270.908882,68810.8559
197,255,1.071669,65025,16581375,4228250625,273.27562,69685.2832
198,256,1.06809,65536,16777216,4294967296,273.43104,69998.3462
199,257,1.052204,66049,16974593,4362470401,270.416531,69497.0484
200,258,1.05941,66564,17173512,4430766096,273.327703,70518.5473
201,259,1.062722,67081,17373979,4499860561,275.244998,71288.4545
202,260,1.065221,67600,17576000,4569760000,276.95746,72008.9396
203,261,1.067569,68121,17779581,4640470641,278.635613,72723.8951
204,262,1.071325,68644,17984728,4711998736,280.687176,73540.0402
205,263,1.070654,69169,18191447,4784350561,281.582002,74056.0665
206,264,1.070429,69696,18399744,4857532416,282.593256,74604.6196
207,265,1.069873,70225,18609625,4931550625,283.516239,75131.8033
208,266,1.067454,70756,18821096,5006411536,283.942737,75528.7681
209,267,1.067901,71289,19034163,5082121521,285.129567,76129.5944
210,268,1.071026,71824,19248832,5158686976,287.034834,76925.3355
211,269,1.070958,72361,19465109,5236114321,288.087836,77495.628
212,270,1.070919,72900,19683000,5314410000,289.148211,78070.017
213,271,1.070841,73441,19902511,5393580481,290.198019,78643.6633
214,272,1.069724,73984,20123648,5473632256,290.965037,79142.49
215,273,1.070493,74529,20346417,5554571841,292.244562,79782.7653
216,274,1.070785,75076,20570824,5636405776,293.395008,80390.2321
217,275,1.070703,75625,20796875,5719140625,294.443325,80971.9144
218,276,1.070612,76176,21024576,5802782976,295.488857,81554.9245
219,277,1.070097,76729,21253933,5887339441,296.41698,82107.5034
220,278,1.070269,77284,21484952,5972816656,297.534782,82714.6694
221,279,1.069909,77841,21717639,6059221281,298.504639,83282.7943
222,280,1.069939,78400,21952000,6146560000,299.582892,83883.2098
223,281,1.06919,78961,22188041,6234839521,300.442334,84424.2958
224,282,1.066622,79524,22425768,6324066576,300.787348,84822.032
225,283,1.066286,80089,22665187,6414247921,301.759023,85397.8035
226,284,1.065146,80656,22906304,6505390336,302.501436,85910.4077
227,285,1.069101,81225,23149125,6597500625,304.693842,86837.745
228,286,1.068527,81796,23393656,6690585616,305.598808,87401.259
229,287,1.070872,82369,23639903,6784652161,307.340321,88206.6722
230,288,1.068974,82944,23887872,6879707136,307.864598,88665.0043
231,289,1.069585,83521,24137569,6975757441,309.109949,89332.7754
232,290,1.069801,84100,24389000,7072810000,310.242377,89970.2893
233,291,1.070136,84681,24642171,7170871761,311.409663,90620.212
234,292,1.070017,85264,24897088,7269949696,312.445052,91233.9551
235,293,1.06983,85849,25153757,7370050801,313.460102,91843.8099
236,294,1.064631,86436,25412184,7471182096,313.001573,92022.4624
237,295,1.06767,87025,25672375,7573350625,314.96265,92913.9817
238,296,1.067037,87616,25934336,7676563456,315.843011,93489.5313
239,297,1.069961,88209,26198073,7780827681,317.778447,94380.1987
240,298,1.069836,88804,26463592,7886150416,318.811247,95005.7517
241,299,1.069743,89401,26730899,7992538801,319.853277,95636.1297
242,300,1.069616,90000,27000000,8100000000,320.88471,96265.413
243,301,1.069882,90601,27270901,8208541201,322.034633,96932.4244
244,302,1.069885,91204,27543608,8318169616,323.105361,97577.8189
245,303,1.069128,91809,27818127,8428892481,323.945663,98155.5358
246,304,1.066744,92416,28094464,8540717056,324.290298,98584.2505
247,305,1.068861,93025,28372625,8653650625,326.002544,99430.7759
248,306,1.069142,93636,28652616,8767700496,327.157421,100110.1709
249,307,1.069192,94249,28934443,8882874001,328.241791,100770.2297
250,308,1.069607,94864,29218112,8999178496,329.438894,101467.1795
251,309,1.069669,95481,29503629,9116621361,330.527845,102133.104
252,310,1.068412,96100,29791000,9235210000,331.207627,102674.3644
253,311,1.069277,96721,30080231,9354951841,332.545209,103421.5601
254,312,1.062872,97344,30371328,9475854336,331.616158,103464.2412
255,313,1.064725,97969,30664297,9597924961,333.258925,104310.0435
256,314,1.064865,98596,30959144,9721171216,334.367579,104991.4197
257,315,1.069035,99225,31255875,9845600625,336.746088,106075.0177
258,316,1.068496,99856,31554496,9971220736,337.644768,106695.7466
259,317,1.069334,100489,31855013,10098039121,338.978846,107456.2943
260,318,1.069314,101124,32157432,10226063376,340.04182,108133.2988
261,319,1.069307,101761,32461759,10355301121,341.108837,108813.7191
262,320,1.069352,102400,32768000,10485760000,342.1928,109501.696
263,321,1.067997,103041,33076161,10617447681,342.827005,110047.4686
264,322,1.06758,103684,33386248,10750371856,343.760728,110690.9544
265,323,1.067449,104329,33698267,10884540241,344.786027,111365.8867
266,324,1.066172,104976,34012224,11019960576,345.439598,111922.4299
267,325,1.066994,105625,34328125,11156640625,346.77305,112701.2412
268,326,1.068594,106276,34645976,11294588176,348.361611,113565.8853
269,327,1.067979,106929,34965783,11433811041,349.229198,114197.9479
270,328,1.06849,107584,35287552,11574317056,350.464687,114952.4174
271,329,1.06734,108241,35611289,11716114081,351.155024,115530.0031
272,330,1.067081,108900,35937000,11859210000,352.136829,116205.1536
273,331,1.066922,109561,36264691,12003612721,353.151215,116893.0522
274,332,1.064526,110224,36594368,12149330176,353.422665,117336.3248
275,333,1.064402,110889,36926037,12296370321,354.445933,118030.4956
276,334,1.069533,111556,37259704,12444741136,357.223989,119312.8122
277,335,1.068778,112225,37595375,12594450625,358.040697,119943.6335
278,336,1.070271,112896,37933056,12745506816,359.61109,120829.3261
279,337,1.07034,113569,38272753,12897917761,360.704681,121557.4775
280,338,1.070334,114244,38614472,13051691536,361.772926,122279.2489
281,339,1.070029,114921,38958219,13206836241,362.739831,122968.8027
282,340,1.066999,115600,39304000,13363360000,362.779728,123345.1075
283,341,1.06794,116281,39651821,13521270961,364.167676,124181.1777
284,342,1.069568,116964,40001688,13680577296,365.792427,125101.01
285,343,1.067512,117649,40353607,13841287201,366.156582,125591.7075
286,344,1.067406,118336,40707584,14003408896,367.187698,126312.5682
287,345,1.067782,119025,41063625,14166950625,368.384928,127092.8002
288,346,1.06914,119716,41421736,14331920656,369.922578,127993.2121
289,347,1.069061,120409,41781923,14498327281,370.964236,128724.59
290,348,1.069039,121104,42144192,14666178816,372.025607,129464.9112
291,349,1.067674,121801,42508549,14835483601,372.618156,130043.7365
292,350,1.065442,122500,42875000,15006250000,372.904805,130516.6818
293,351,1.066672,123201,43243551,15178486401,374.401872,131415.0571
294,352,1.065249,123904,43614208,15352201216,374.967648,131988.6121
295,353,1.067323,124609,43986977,15527402881,376.765019,132998.0517
296,354,1.068309,125316,44361864,15704099856,378.181457,133876.2357
297,355,1.069017,126025,44738875,15882300625,379.501,134722.8548
298,356,1.067724,126736,45118016,16062013696,380.109673,135319.0435
299,357,1.060736,127449,45499293,16243247601,378.682609,135189.6915
300,358,1.067499,128164,45882712,16426010896,382.16457,136814.9162
301,359,1.065065,128881,46268279,16610312161,382.358479,137266.6938
302,360,1.065,129600,46656000,16796160000,383.399856,138023.9482
303,361,1.067866,130321,47045881,16983563041,385.49977,139165.4171
304,362,1.068412,131044,47437928,17172529936,386.765072,140008.9559
305,363,1.068219,131769,47832147,17363069361,387.763642,140758.2021
306,364,1.068793,132496,48228544,17555190016,389.040725,141610.8238
307,365,1.0692,133225,48627125,17748900625,390.25811,142444.21
308,366,1.069187,133956,49027896,17944209936,391.322588,143224.0674
309,367,1.068893,134689,49430863,18141126721,392.283731,143968.1293
310,368,1.068741,135424,49836032,18339659776,393.296835,144733.2354
311,369,1.068638,136161,50243409,18539817921,394.32757,145506.8732
312,370,1.064519,136900,50653000,18741610000,393.871882,145732.5963
313,371,1.067725,137641,51064811,18945044881,396.126086,146962.778
314,372,1.06763,138384,51478848,19150131456,397.158174,147742.8407
315,373,1.067562,139129,51895117,19356878641,398.200701,148528.8613
316,374,1.067586,139876,52313624,19565295376,399.276977,149329.5894
317,375,1.067954,140625,52734375,19775390625,400.482862,150181.0734
318,376,1.065505,141376,53157376,19987173376,400.629842,150636.8207
319,377,1.065346,142129,53582633,20200652641,401.63548,151416.5758
320,378,1.062948,142884,54010152,20415837456,401.79442,151878.2906
321,379,1.059456,143641,54439939,20632736881,401.533672,152181.2618
322,380,1.065367,144400,54872000,20851360000,404.839346,153838.9515
323,381,1.068119,145161,55306341,21071715921,406.953301,155049.2076
324,382,1.068004,145924,55742968,21293813776,407.977413,155847.3719
325,383,1.067912,146689,56181887,21517662721,409.010334,156650.958
326,384,1.067308,147456,56623104,21743271936,409.846426,157381.0274
327,385,1.067424,148225,57066625,21970650625,410.958432,158218.9965
328,386,1.0676,148996,57512456,22199808016,412.093523,159068.0998
329,387,1.068161,149769,57960603,22430753361,413.378462,159977.4647
330,388,1.066788,150544,58411072,22663495936,413.913899,160598.5929
331,389,1.049912,151321,58863869,22898045041,408.415651,158873.6884
332,390,1.048782,152100,59319000,23134410000,409.024941,159519.727
333,391,1.040984,152881,59776471,23372600161,407.024822,159146.7055
334,392,1.054733,153664,60236288,23612624896,413.455336,162074.4917
335,393,1.066344,154449,60698457,23854493601,419.073113,164695.7336
336,394,1.063675,155236,61162984,24098215696,419.087832,165120.6057
337,395,1.066135,156025,61629875,24343800625,421.123404,166343.7446
338,396,1.067439,156816,62099136,24591257856,422.705844,167391.5142
339,397,1.063289,157609,62570773,24840596881,422.125654,167583.8845
340,398,1.06475,158404,63044792,25091827216,423.770381,168660.6115
341,399,1.065233,159201,63521199,25344958401,425.027807,169586.0952
342,400,1.063678,160000,64000000,25600000000,425.47132,170188.528
343,401,1.065893,160801,64481201,25856961601,427.423013,171396.6281
344,402,1.061992,161604,64964808,26115852816,426.920905,171622.2036
345,403,1.059456,162409,65450827,26376683281,426.960728,172065.1733
346,404,1.058076,163216,65939264,26639462656,427.462704,172694.9324
347,405,1.044961,164025,66430125,26904200625,423.209043,171399.6624
348,406,1.060886,164836,66923416,27170906896,430.719513,174872.1223
349,407,1.054832,165649,67419143,27439591201,429.316746,174731.9157
350,408,1.04266,166464,67917312,27710263296,425.405076,173565.271
351,409,1.066958,167281,68417929,27982932961,436.386026,178481.8848
352,410,1.06567,168100,68921000,28257610000,436.924659,179139.1102
353,411,1.065674,168921,69426531,28534304241,437.99222,180014.8022
354,412,1.066538,169744,69934528,28813025536,439.41378,181038.4772
355,413,1.062942,170569,70444997,29093783761,438.995005,181304.9369
356,414,1.055619,171396,70957944,29376588816,437.026349,180928.9084
357,415,1.066964,172225,71473375,29661450625,442.790226,183757.9438
358,416,1.064586,173056,71991296,29948379136,442.867984,184233.0813
359,417,1.043953,173889,72511713,30237384321,435.328234,181531.8737
360,418,1.05604,174724,73034632,30528476176,441.424804,184515.5679
361,419,1.066907,175561,73560059,30821664721,447.034159,187307.3125
362,420,1.066283,176400,74088000,31116960000,447.838986,188092.3741
363,421,1.066753,177241,74618461,31414372081,449.103055,189072.3862
364,422,1.066135,178084,75151448,31713911056,449.909097,189861.6388
365,423,1.063808,178929,75686967,32015587041,449.990784,190346.1016
366,424,1.063803,179776,76225024,32319410176,451.052387,191246.2122
367,425,1.064928,180625,76765625,32625390625,452.594442,192352.6381
368,426,1.063532,181476,77308776,32933538576,453.064589,193005.5151
369,427,1.064642,182329,77854483,33243864241,454.602049,194115.0748
370,428,1.051359,183184,78402752,33556377856,449.981738,192592.1837
371,429,1.06221,184041,78953589,33871089681,455.687961,195490.1354
372,430,1.054874,184900,79507000,34188010000,453.596035,195046.295
373,431,1.056126,185761,80062991,34507149121,455.190306,196187.0219
374,432,1.054855,186624,80621568,34828517376,455.69749,196861.3155
375,433,1.04013,187489,81182737,35152125121,450.376333,195012.9523
376,434,1.056043,188356,81746504,35477982736,458.322488,198911.96
377,435,1.064447,189225,82312875,35806100625,463.034619,201420.0593
378,436,1.063074,190096,82881856,36136489216,463.50022,202086.0961
379,437,1.064386,190969,83453453,36469158961,465.136551,203264.6727
380,438,1.065268,191844,84027672,36804120336,466.58734,204365.255
381,439,1.060563,192721,84604519,37141383841,465.587201,204392.7812
382,440,1.061882,193600,85184000,37480960000,467.22808,205580.3552
383,441,1.060433,194481,85766121,37822859361,467.650909,206234.0508
384,442,1.06252,195364,86350888,38167092496,469.633663,207578.0791
385,443,1.063943,196249,86938307,38513670001,471.326926,208797.8283
386,444,1.065631,197136,87528384,38862602496,473.14012,210074.2131
387,445,1.065956,198025,88121125,39213900625,474.350198,211085.8379
388,446,1.064377,198916,88716536,39567575056,474.711964,211721.5358
389,447,1.059249,199809,89314623,39923636481,473.484124,211647.4035
390,448,1.064343,200704,89915392,40282095616,476.825664,213617.8975
391,449,1.065281,201601,90518849,40642963201,478.311079,214761.6746
392,450,1.0653,202500,91125000,41006250000,479.384865,215723.1892
393,451,1.065165,203401,91733851,41371966801,480.389595,216655.7075
394,452,1.064838,204304,92345408,41740124416,481.306866,217550.7036
395,453,1.064746,205209,92959677,42110733681,482.330074,218495.5235
396,454,1.064704,206116,93576664,42483805456,483.375571,219452.5091
397,455,1.063228,207025,94196375,42859350625,483.76874,220114.7767
398,456,1.054764,207936,94818816,43237380096,480.972202,219323.3239
399,457,1.063291,208849,95443993,43617904801,485.92385,222067.1994
400,458,1.064048,209764,96071912,44000935696,487.333801,223198.8808
401,459,1.060768,210681,96702579,44386483761,486.892512,223483.663
402,460,1.061019,211600,97336000,44774560000,488.068832,224511.6627
403,461,1.064518,212521,97972181,45165175441,490.742568,226232.3236
404,462,1.059938,213444,98611128,45558341136,489.691217,226237.3424
405,463,1.063295,214369,99252847,45954068161,492.305539,227937.4644
406,464,1.062016,215296,99897344,46352367616,492.775424,228647.7967
407,465,1.060432,216225,100544625,46753250625,493.10088,229291.9092
408,466,1.063256,217156,101194696,47156728336,495.477482,230892.5068
409,467,1.059411,218089,101847563,47562811921,494.745124,231045.9728
410,468,1.063498,219024,102503232,47971512576,497.717204,232931.6517
411,469,1.060101,219961,103161709,48382841521,497.187275,233180.8321
412,470,1.057823,220900,103823000,48796810000,497.176716,233673.0565
413,471,1.061189,221841,104487111,49213429281,499.819878,235415.1624
414,472,1.041633,222784,105154048,49632710656,491.650682,232059.1217
415,473,1.061265,223729,105823817,50054665441,501.978392,237435.7796
416,474,1.064707,224676,106496424,50479304976,504.671213,239214.1549
417,475,1.064676,225625,107171875,50906640625,505.721005,240217.4774
418,476,1.0642,226576,107850176,51336683776,506.559057,241122.1112
419,477,1.064227,227529,108531333,51769445841,507.636422,242142.5733
420,478,1.063341,228484,109215352,52204938256,508.276902,242956.3593
421,479,1.063984,229441,109902239,52643172481,509.648528,244121.6447
422,480,1.056631,230400,110592000,53084160000,507.182688,243447.6902
423,481,1.050668,231361,111284641,53527912321,505.371356,243083.6223
424,482,1.058108,232324,111980168,53974440976,510.008056,245823.883
425,483,1.057606,233289,112678587,54423757521,510.823698,246727.8461
426,484,1.056636,234256,113379904,54875873536,511.411824,247523.3228
427,485,1.061269,235225,114084125,55330800625,514.715562,249637.0476
428,486,1.051676,236196,114791256,55788550416,511.114536,248401.6645
429,487,1.0553,237169,115501303,56249134561,513.931344,250284.5643
430,488,1.062702,238144,116214272,56712564736,518.598478,253076.0575
431,489,1.061066,239121,116930169,57178852641,518.861078,253723.0673
432,490,1.061181,240100,117649000,57648010000,519.978641,254789.5341
433,491,1.062433,241081,118370771,58120048561,521.654652,256132.4342
434,492,1.062424,242064,119095488,58594980096,522.712559,257174.5789
435,493,1.062617,243049,119823157,59072816401,523.870378,258268.0965
436,494,1.06243,244036,120553784,59553569296,524.84042,259271.1675
437,495,1.062134,245025,121287375,60037250625,525.75628,260249.3588
438,496,1.059418,246016,122023936,60523872256,525.471427,260633.8279
439,497,1.059647,247009,122763473,61013446081,526.64436,261742.247
440,498,1.062481,248004,123505992,61505984016,529.115737,263499.6371
441,499,1.062648,249001,124251499,62001498001,530.261402,264600.4395
